SERIE_INITIAL_DATA: 2010 1 01 0 0 0
TIME_UNITS: SECONDS     
seconds YY MM DD Kc  
<BeginTimeSerie>      
0 2010 1 1 0.4
86400 2010 1 2 0.4
172800 2010 1 3 0.4
259200 2010 1 4 0.4
345600 2010 1 5 0.4
432000 2010 1 6 0.4
518400 2010 1 7 0.4
604800 2010 1 8 0.4
691200 2010 1 9 0.4
777600 2010 1 10 0.4
864000 2010 1 11 0.4
950400 2010 1 12 0.4
1036800 2010 1 13 0.4
1123200 2010 1 14 0.4
1209600 2010 1 15 0.4
1296000 2010 1 16 0.4
1382400 2010 1 17 0.4
1468800 2010 1 18 0.4
1555200 2010 1 19 0.4
1641600 2010 1 20 0.4
1728000 2010 1 21 0.4
1814400 2010 1 22 0.4
1900800 2010 1 23 0.4
1987200 2010 1 24 0.4
2073600 2010 1 25 0.4
2160000 2010 1 26 0.4
2246400 2010 1 27 0.4
2332800 2010 1 28 0.4
2419200 2010 1 29 0.4
2505600 2010 1 30 0.4
2592000 2010 1 31 0.4
2678400 2010 2 1 0.4
2764800 2010 2 2 0.4
2851200 2010 2 3 0.4
2937600 2010 2 4 0.4
3024000 2010 2 5 0.4
3110400 2010 2 6 0.4
3196800 2010 2 7 0.4
3283200 2010 2 8 0.4
3369600 2010 2 9 0.4
3456000 2010 2 10 0.4
3542400 2010 2 11 0.4
3628800 2010 2 12 0.4
3715200 2010 2 13 0.4
3801600 2010 2 14 0.4
3888000 2010 2 15 0.4
3974400 2010 2 16 0.4
4060800 2010 2 17 0.4
4147200 2010 2 18 0.4
4233600 2010 2 19 0.4
4320000 2010 2 20 0.4
4406400 2010 2 21 0.4
4492800 2010 2 22 0.4
4579200 2010 2 23 0.4
4665600 2010 2 24 0.4
4752000 2010 2 25 0.4
4838400 2010 2 26 0.4
4924800 2010 2 27 0.4
5011200 2010 2 28 0.4
5097600 2010 3 1 0.4
5184000 2010 3 2 0.4
5270400 2010 3 3 0.4
5356800 2010 3 4 0.4
5443200 2010 3 5 0.4
5529600 2010 3 6 0.4
5616000 2010 3 7 0.4
5702400 2010 3 8 0.4
5788800 2010 3 9 0.4
5875200 2010 3 10 0.4
5961600 2010 3 11 0.4
6048000 2010 3 12 0.4
6134400 2010 3 13 0.4
6220800 2010 3 14 0.4
6307200 2010 3 15 0.4
6393600 2010 3 16 0.4
6480000 2010 3 17 0.4
6566400 2010 3 18 0.4
6652800 2010 3 19 0.4
6739200 2010 3 20 0.4
6825600 2010 3 21 0.4
6912000 2010 3 22 0.4
6998400 2010 3 23 0.4
7084800 2010 3 24 0.4
7171200 2010 3 25 0.4
7257600 2010 3 26 0.4
7344000 2010 3 27 0.4
7430400 2010 3 28 0.4
7516800 2010 3 29 0.4
7603200 2010 3 30 0.4
7689600 2010 3 31 0.4
7776000 2010 4 1 0.4
7862400 2010 4 2 0.4
7948800 2010 4 3 0.4
8035200 2010 4 4 0.4
8121600 2010 4 5 0.4
8208000 2010 4 6 0.4
8294400 2010 4 7 0.4
8380800 2010 4 8 0.4
8467200 2010 4 9 0.4
8553600 2010 4 10 0.4
8640000 2010 4 11 0.4
8726400 2010 4 12 0.4
8812800 2010 4 13 0.4
